MenuID,BuaSang,BuaTrua,BuaPhu1,BuaToi,BuaPhu2
17,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Bò hầm + khoai tây,Sữa tách béo
18,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Bò hầm + khoai tây,Hạnh nhân rang
19,Sữa đậu nành + khoai lang luộc,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Ức gà áp chảo + bí đỏ,Hạnh nhân rang
20,Yến mạch + sữa chua Hy Lạp + chuối,Cơm gạo lứt + ức gà nướng + salad,Sinh tố chuối + yến mạch,Cá thu nướng + rau xanh,Hạnh nhân rang
21,Bánh mì đen + trứng ốp la + sữa tách béo,Khoai lang + bò xào rau cải,Táo + bơ đậu phộng,Đậu phụ sốt cà + súp lơ,1 quả chuối
22,Sữa đậu nành + khoai lang luộc,Cơm trắng + cá hồi áp chảo + rau củ,Sữa chua Hy Lạp + việt quất,Cá thu nướng + rau xanh,Sữa tách béo
23,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Bò hầm + khoai tây,Hạnh nhân rang
24,Sữa đậu nành + khoai lang luộc,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Bò hầm + khoai tây,1 quả chuối
25,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Sữa chua Hy Lạp + việt quất,Ức gà áp chảo + bí đỏ,1 quả chuối
26,Sữa đậu nành + khoai lang luộc,Cơm trắng + cá hồi áp chảo + rau củ,Sữa chua Hy Lạp + việt quất,Đậu phụ sốt cà + súp lơ,1 quả chuối
27,Trứng luộc + táo + hạnh nhân,Cơm trắng + cá hồi áp chảo + rau củ,Sữa chua Hy Lạp + việt quất,Bò hầm + khoai tây,1 quả táo
28,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Sữa chua Hy Lạp + việt quất,Ức gà áp chảo + bí đỏ,Sữa tách béo
29,Bánh mì đen + trứng ốp la + sữa tách béo,Mì soba + đậu phụ + rau chân vịt,Hạt điều + nho,Ức gà áp chảo + bí đỏ,1 quả chuối
30,Yến mạch + sữa chua Hy Lạp + chuối,Cơm gạo lứt + ức gà nướng + salad,Sinh tố chuối + yến mạch,Bò hầm + khoai tây,Sữa tách béo
31,Sữa đậu nành + khoai lang luộc,Cơm trắng + cá hồi áp chảo + rau củ,Sinh tố chuối + yến mạch,Cá thu nướng + rau xanh,Sữa tách béo
32,Trứng luộc + táo + hạnh nhân,Cơm gạo lứt + ức gà nướng + salad,Sữa chua Hy Lạp + việt quất,Bò hầm + khoai tây,Hạnh nhân rang
33,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Ức gà áp chảo + bí đỏ,1 quả táo
34,Trứng luộc + táo + hạnh nhân,Mì soba + đậu phụ + rau chân vịt,Sinh tố chuối + yến mạch,Ức gà áp chảo + bí đỏ,1 quả chuối
35,Yến mạch + sữa chua Hy Lạp + chuối,Mì soba + đậu phụ + rau chân vịt,Táo + bơ đậu phộng,Cá thu nướng + rau xanh,1 quả chuối
36,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Bò hầm + khoai tây,1 quả chuối
37,Yến mạch + sữa chua Hy Lạp + chuối,Khoai lang + bò xào rau cải,Sinh tố chuối + yến mạch,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang
38,Trứng luộc + táo + hạnh nhân,Khoai lang + bò xào rau cải,Sinh tố chuối + yến mạch,Bò hầm + khoai tây,1 quả chuối
39,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Hạt điều + nho,Cá thu nướng + rau xanh,1 quả táo
40,Sữa đậu nành + khoai lang luộc,Khoai lang + bò xào rau cải,Táo + bơ đậu phộng,Đậu phụ sốt cà + súp lơ,Sữa tách béo
41,Trứng luộc + táo + hạnh nhân,Cơm gạo lứt + ức gà nướng + salad,Sữa chua Hy Lạp + việt quất,Bò hầm + khoai tây,Sữa tách béo
42,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Cá thu nướng + rau xanh,1 quả táo
43,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Sinh tố chuối + yến mạch,Đậu phụ sốt cà + súp lơ,1 quả táo
44,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Sữa chua Hy Lạp + việt quất,Cá thu nướng + rau xanh,Hạnh nhân rang
45,Sữa đậu nành + khoai lang luộc,Cơm trắng + cá hồi áp chảo + rau củ,Hạt điều + nho,Bò hầm + khoai tây,1 quả táo
46,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Bò hầm + khoai tây,Sữa tách béo
47,Yến mạch + sữa chua Hy Lạp + chuối,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Bò hầm + khoai tây,Sữa tách béo
48,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Ức gà áp chảo + bí đỏ,1 quả chuối
49,Trứng luộc + táo + hạnh nhân,Cơm gạo lứt + ức gà nướng + salad,Sữa chua Hy Lạp + việt quất,Cá thu nướng + rau xanh,1 quả chuối
50,Bánh mì đen + trứng ốp la + sữa tách béo,Mì soba + đậu phụ + rau chân vịt,Hạt điều + nho,Ức gà áp chảo + bí đỏ,Hạnh nhân rang
