MenuID,BuaSang,BuaTrua,BuaPhu1,BuaToi,BuaPhu2,Calories,Protein(g),Carbs(g),Fat(g)
14,Trứng luộc + táo + hạnh nhân,Mì soba + đậu phụ + rau chân vịt,Sinh tố chuối + yến mạch,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang,1547,133,135,46
15,Sữa đậu nành + khoai lang luộc,Khoai lang + bò xào rau cải,Sinh tố chuối + yến mạch,Cá thu nướng + rau xanh,Sữa tách béo,1507,126,129,34
16,Yến mạch + sữa chua Hy Lạp + chuối,Cơm gạo lứt + ức gà nướng + salad,Sinh tố chuối + yến mạch,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang,1754,140,138,34
17,Yến mạch + sữa chua Hy Lạp + chuối,Mì soba + đậu phụ + rau chân vịt,Sữa chua Hy Lạp + việt quất,Cá thu nướng + rau xanh,1 quả chuối,1574,130,144,31
18,Sữa đậu nành + khoai lang luộc,Mì soba + đậu phụ + rau chân vịt,Sữa chua Hy Lạp + việt quất,Đậu phụ sốt cà + súp lơ,1 quả táo,1599,134,140,31
19,Trứng luộc + táo + hạnh nhân,Khoai lang + bò xào rau cải,Hạt điều + nho,Bò hầm + khoai tây,Hạnh nhân rang,1657,145,132,35
20,Bánh mì đen + trứng ốp la + sữa tách béo,Mì soba + đậu phụ + rau chân vịt,Sinh tố chuối + yến mạch,Đậu phụ sốt cà + súp lơ,1 quả táo,1688,146,128,34
21,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Bò hầm + khoai tây,Sữa tách béo,1728,160,122,47
22,Trứng luộc + táo + hạnh nhân,Cơm gạo lứt + ức gà nướng + salad,Sinh tố chuối + yến mạch,Cá thu nướng + rau xanh,1 quả táo,1687,147,128,47
23,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Ức gà áp chảo + bí đỏ,1 quả táo,1697,154,167,50
24,Trứng luộc + táo + hạnh nhân,Cơm gạo lứt + ức gà nướng + salad,Sữa chua Hy Lạp + việt quất,Cá thu nướng + rau xanh,1 quả chuối,1558,143,136,33
25,Bánh mì đen + trứng ốp la + sữa tách béo,Mì soba + đậu phụ + rau chân vịt,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,1 quả táo,1661,146,164,42
26,Trứng luộc + táo + hạnh nhân,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang,1568,151,154,38
27,Yến mạch + sữa chua Hy Lạp + chuối,Mì soba + đậu phụ + rau chân vịt,Sinh tố chuối + yến mạch,Đậu phụ sốt cà + súp lơ,1 quả táo,1503,148,133,31
28,Yến mạch + sữa chua Hy Lạp + chuối,Khoai lang + bò xào rau cải,Táo + bơ đậu phộng,Ức gà áp chảo + bí đỏ,Hạnh nhân rang,1537,157,128,34
29,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Sinh tố chuối + yến mạch,Bò hầm + khoai tây,1 quả chuối,1566,142,129,32
30,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Sữa chua Hy Lạp + việt quất,Cá thu nướng + rau xanh,1 quả táo,1740,152,146,41
31,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm trắng + cá hồi áp chảo + rau củ,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang,1701,140,167,50
32,Yến mạch + sữa chua Hy Lạp + chuối,Mì soba + đậu phụ + rau chân vịt,Hạt điều + nho,Bò hầm + khoai tây,1 quả chuối,1800,153,124,49
33,Sữa đậu nành + khoai lang luộc,Mì soba + đậu phụ + rau chân vịt,Táo + bơ đậu phộng,Cá thu nướng + rau xanh,Sữa tách béo,1500,158,120,37
34,Sữa đậu nành + khoai lang luộc,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Ức gà áp chảo + bí đỏ,Hạnh nhân rang,1593,140,123,38
35,Trứng luộc + táo + hạnh nhân,Mì soba + đậu phụ + rau chân vịt,Sinh tố chuối + yến mạch,Ức gà áp chảo + bí đỏ,Hạnh nhân rang,1672,156,150,33
36,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Sữa chua Hy Lạp + việt quất,Bò hầm + khoai tây,Hạnh nhân rang,1730,149,151,34
37,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm trắng + cá hồi áp chảo + rau củ,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,1 quả táo,1689,150,132,37
38,Trứng luộc + táo + hạnh nhân,Khoai lang + bò xào rau cải,Hạt điều + nho,Ức gà áp chảo + bí đỏ,1 quả táo,1631,154,164,47
39,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Sinh tố chuối + yến mạch,Cá thu nướng + rau xanh,Sữa tách béo,1501,139,142,36
40,Trứng luộc + táo + hạnh nhân,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang,1689,159,177,40
41,Sữa đậu nành + khoai lang luộc,Cơm trắng + cá hồi áp chảo + rau củ,Sữa chua Hy Lạp + việt quất,Ức gà áp chảo + bí đỏ,Sữa tách béo,1764,131,174,36
42,Yến mạch + sữa chua Hy Lạp + chuối,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,1 quả táo,1575,123,132,48
43,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Ức gà áp chảo + bí đỏ,Sữa tách béo,1550,137,149,42
44,Yến mạch + sữa chua Hy Lạp + chuối,Mì soba + đậu phụ + rau chân vịt,Sữa chua Hy Lạp + việt quất,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang,1704,139,134,47
45,Trứng luộc + táo + hạnh nhân,Mì soba + đậu phụ + rau chân vịt,Hạt điều + nho,Cá thu nướng + rau xanh,1 quả táo,1533,153,180,47
46,Sữa đậu nành + khoai lang luộc,Mì soba + đậu phụ + rau chân vịt,Sữa chua Hy Lạp + việt quất,Cá thu nướng + rau xanh,Hạnh nhân rang,1547,134,180,38
47,Bánh mì đen + trứng ốp la + sữa tách béo,Mì soba + đậu phụ + rau chân vịt,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Sữa tách béo,1745,157,144,48
48,Sữa đậu nành + khoai lang luộc,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Cá thu nướng + rau xanh,Sữa tách béo,1730,147,172,41
49,Sữa đậu nành + khoai lang luộc,Khoai lang + bò xào rau cải,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Sữa tách béo,1783,147,141,50
50,Sữa đậu nành + khoai lang luộc,Mì soba + đậu phụ + rau chân vịt,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang,1769,143,150,42
