MenuID,BuaSang,BuaTrua,BuaPhu1,BuaToi,BuaPhu2
18,Trứng luộc + táo + hạnh nhân,Khoai lang + bò xào rau cải,Sữa chua Hy Lạp + việt quất,Ức gà áp chảo + bí đỏ,Sữa tách béo
19,Trứng luộc + táo + hạnh nhân,Cơm gạo lứt + ức gà nướng + salad,Sinh tố chuối + yến mạch,Cá thu nướng + rau xanh,1 quả táo
20,Yến mạch + sữa chua Hy Lạp + chuối,Khoai lang + bò xào rau cải,Hạt điều + nho,Ức gà áp chảo + bí đỏ,1 quả chuối
21,Yến mạch + sữa chua Hy Lạp + chuối,Khoai lang + bò xào rau cải,Sữa chua Hy Lạp + việt quất,Ức gà áp chảo + bí đỏ,Sữa tách béo
22,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Ức gà áp chảo + bí đỏ,1 quả táo
23,Yến mạch + sữa chua Hy Lạp + chuối,Mì soba + đậu phụ + rau chân vịt,Sữa chua Hy Lạp + việt quất,Bò hầm + khoai tây,Hạnh nhân rang
24,Trứng luộc + táo + hạnh nhân,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Bò hầm + khoai tây,1 quả chuối
25,Bánh mì đen + trứng ốp la + sữa tách béo,Khoai lang + bò xào rau cải,Táo + bơ đậu phộng,Cá thu nướng + rau xanh,1 quả táo
26,Trứng luộc + táo + hạnh nhân,Cơm trắng + cá hồi áp chảo + rau củ,Sinh tố chuối + yến mạch,Ức gà áp chảo + bí đỏ,Sữa tách béo
27,Sữa đậu nành + khoai lang luộc,Khoai lang + bò xào rau cải,Táo + bơ đậu phộng,Ức gà áp chảo + bí đỏ,1 quả chuối
28,Sữa đậu nành + khoai lang luộc,Khoai lang + bò xào rau cải,Sữa chua Hy Lạp + việt quất,Ức gà áp chảo + bí đỏ,1 quả táo
29,Trứng luộc + táo + hạnh nhân,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Cá thu nướng + rau xanh,1 quả chuối
30,Sữa đậu nành + khoai lang luộc,Mì soba + đậu phụ + rau chân vịt,Táo + bơ đậu phộng,Cá thu nướng + rau xanh,Sữa tách béo
31,Trứng luộc + táo + hạnh nhân,Khoai lang + bò xào rau cải,Hạt điều + nho,Ức gà áp chảo + bí đỏ,1 quả táo
32,Yến mạch + sữa chua Hy Lạp + chuối,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang
33,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Bò hầm + khoai tây,1 quả táo
34,Trứng luộc + táo + hạnh nhân,Mì soba + đậu phụ + rau chân vịt,Sinh tố chuối + yến mạch,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang
35,Trứng luộc + táo + hạnh nhân,Mì soba + đậu phụ + rau chân vịt,Hạt điều + nho,Bò hầm + khoai tây,Hạnh nhân rang
36,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm trắng + cá hồi áp chảo + rau củ,Sinh tố chuối + yến mạch,Đậu phụ sốt cà + súp lơ,1 quả táo
37,Trứng luộc + táo + hạnh nhân,Cơm gạo lứt + ức gà nướng + salad,Sinh tố chuối + yến mạch,Bò hầm + khoai tây,Hạnh nhân rang
38,Bánh mì đen + trứng ốp la + sữa tách béo,Khoai lang + bò xào rau cải,Sinh tố chuối + yến mạch,Cá thu nướng + rau xanh,Sữa tách béo
39,Sữa đậu nành + khoai lang luộc,Cơm trắng + cá hồi áp chảo + rau củ,Sinh tố chuối + yến mạch,Cá thu nướng + rau xanh,1 quả táo
40,Trứng luộc + táo + hạnh nhân,Cơm trắng + cá hồi áp chảo + rau củ,Sinh tố chuối + yến mạch,Ức gà áp chảo + bí đỏ,1 quả chuối
41,Sữa đậu nành + khoai lang luộc,Cơm gạo lứt + ức gà nướng + salad,Sinh tố chuối + yến mạch,Cá thu nướng + rau xanh,1 quả chuối
42,Sữa đậu nành + khoai lang luộc,Khoai lang + bò xào rau cải,Táo + bơ đậu phộng,Đậu phụ sốt cà + súp lơ,1 quả táo
43,Sữa đậu nành + khoai lang luộc,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Ức gà áp chảo + bí đỏ,1 quả táo
44,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Cá thu nướng + rau xanh,Hạnh nhân rang
45,Bánh mì đen + trứng ốp la + sữa tách béo,Mì soba + đậu phụ + rau chân vịt,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,1 quả chuối
46,Trứng luộc + táo + hạnh nhân,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang
47,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Sữa chua Hy Lạp + việt quất,Đậu phụ sốt cà + súp lơ,1 quả táo
48,Trứng luộc + táo + hạnh nhân,Mì soba + đậu phụ + rau chân vịt,Táo + bơ đậu phộng,Đậu phụ sốt cà + súp lơ,1 quả chuối
49,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm trắng + cá hồi áp chảo + rau củ,Sữa chua Hy Lạp + việt quất,Cá thu nướng + rau xanh,1 quả chuối
50,Yến mạch + sữa chua Hy Lạp + chuối,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Ức gà áp chảo + bí đỏ,1 quả táo
