MenuID,BuaSang,BuaTrua,BuaPhu1,BuaToi,BuaPhu2,Calories,Protein(g),Carbs(g),Fat(g)
30,Yến mạch + sữa chua Hy Lạp + chuối,Khoai lang + bò xào rau cải,Táo + bơ đậu phộng,Bò hầm + khoai tây,1 quả táo,2681,184,270,57
31,Trứng luộc + táo + hạnh nhân,Khoai lang + bò xào rau cải,Hạt điều + nho,Cá thu nướng + rau xanh,1 quả táo,2881,159,346,65
32,Yến mạch + sữa chua Hy Lạp + chuối,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,1 quả táo,2611,171,254,67
33,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Hạt điều + nho,Ức gà áp chảo + bí đỏ,Sữa tách béo,2528,172,289,54
34,Trứng luộc + táo + hạnh nhân,Khoai lang + bò xào rau cải,Sữa chua Hy Lạp + việt quất,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang,2715,179,286,56
35,Yến mạch + sữa chua Hy Lạp + chuối,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Bò hầm + khoai tây,Hạnh nhân rang,2581,192,272,55
36,Bánh mì đen + trứng ốp la + sữa tách béo,Mì soba + đậu phụ + rau chân vịt,Táo + bơ đậu phộng,Đậu phụ sốt cà + súp lơ,1 quả chuối,2321,195,319,64
37,Trứng luộc + táo + hạnh nhân,Mì soba + đậu phụ + rau chân vịt,Sữa chua Hy Lạp + việt quất,Đậu phụ sốt cà + súp lơ,1 quả chuối,2748,165,313,54
38,Sữa đậu nành + khoai lang luộc,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang,2738,196,253,60
39,Sữa đậu nành + khoai lang luộc,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Bò hầm + khoai tây,1 quả chuối,2968,162,339,71
40,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm trắng + cá hồi áp chảo + rau củ,Hạt điều + nho,Cá thu nướng + rau xanh,1 quả táo,2855,190,345,54
41,Yến mạch + sữa chua Hy Lạp + chuối,Khoai lang + bò xào rau cải,Sinh tố chuối + yến mạch,Cá thu nướng + rau xanh,1 quả táo,2946,180,342,65
42,Trứng luộc + táo + hạnh nhân,Khoai lang + bò xào rau cải,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Sữa tách béo,2852,199,346,65
43,Trứng luộc + táo + hạnh nhân,Cơm gạo lứt + ức gà nướng + salad,Sữa chua Hy Lạp + việt quất,Bò hầm + khoai tây,1 quả chuối,2689,158,250,78
44,Yến mạch + sữa chua Hy Lạp + chuối,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Cá thu nướng + rau xanh,1 quả táo,2610,162,289,56
45,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Cá thu nướng + rau xanh,1 quả táo,2744,181,288,77
46,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Bò hầm + khoai tây,1 quả táo,2442,164,276,53
47,Trứng luộc + táo + hạnh nhân,Khoai lang + bò xào rau cải,Táo + bơ đậu phộng,Bò hầm + khoai tây,1 quả chuối,2603,167,253,71
48,Bánh mì đen + trứng ốp la + sữa tách béo,Khoai lang + bò xào rau cải,Sinh tố chuối + yến mạch,Bò hầm + khoai tây,Sữa tách béo,2570,151,345,64
49,Bánh mì đen + trứng ốp la + sữa tách béo,Khoai lang + bò xào rau cải,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,1 quả táo,2875,169,265,61
50,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Bò hầm + khoai tây,1 quả táo,2561,179,324,70
